"nombre","comuna"
"LA PÍÑUELA","2"
"LA PLAYA","1"
"LA PRIMAVERA","2"
"LA QUINTA","4"
"LA RINCONADA","2"
"LA RIVIERA","2"
"LA UNION","3"
"LA VICTORIA","8"
"LAS ALMEYDAS","2"
"LAS AMERICAS","6"
"LAS COLINAS","9"
"LAS COLINAS DE BELEN ","9"
"LAS CORALINAS","8"
"LAS DELICIAS","9"
"LAS MALVINAS","10"
"LAS MARGARITAS","3"
"LATINO","1"
"LLANO","1"
"LLERAS","5"
"LOMA DE BOLIVAR","9"
"LOS ACACIOS","2"
"LOS ALMENDROS","8"
"LOS ALPES","9"
"LOS ANGELES","5"
"LOS ARRAYANES","8"
"LOS CANARIOS","8"
"LOS CANARIOS DEL RODEO","8"
"LOS CAOBOS","2"
"LOS CARACOLES","7"
"LOS LAURELES","6"
"LOS NARANJOS","10"
"LOS OLIVOS","8"
"LOS PINOS","2"
"LOS PROCERES","2"
"MAGDALENA","10"
"MANOLO LEMUS","2"
"MANUELA BELTRAN","8"
"MARIA AUXILIADORA","4"
"MARIA GRACIA","8"
"MARIA PAZ","6"
"MARIA TERESA","9"
"MARIANO OSPINA PEREZ","7"
"METROPOLIS","6"
"MINUTO DE DIO","8"
"MIRADOR DEL RIO","4"
"MIRADORES DEL PAMPLONITA","4"
"MOLINOS ","7"
"MOLINOS DEL NORTE","6"
"MONSERRAT","4"
"MORELIS","3"
"MOTILONES","7"
"MUJERES DEL FUTURO","3"
"NIÑA CECI","8"
"NIZA","5"
"NUEVA COLOMBIA","6"
"NUEVA ESPERANZA","8"
"NUEVA ILUSION","8"
"NUEVA SANTA CLARA","4"
"NUEVO ESCOBAL","4"
"NUEVO HORIZONTE","8"
"OLGA TERESA","6"
"PALMA REAL","2"
"PALMERAS","8"
"PANAMERICANO","6"
"PARQUE CENTRAL NATURAL","4"
"PARQUE REAL LIBERTADORES","2"
"PARQUE RESIDENCIALES III","2"
"PARQUES DE BOLIVAR","6"
"PASEO DEL PRADO","6"
"PASEO REAL","4"
"PASTORA","8"
"PATILLALES ","CASERIO"
"PAZ Y PROGRESO","6"
"PESCADERO","5"
"PICABIA","2"
"PINARES DEL ESTE","4"
"PLAYA HERMOSA","2"
"POLICARPA","3"
"POPULAR","2"
"PORTACHUELOS","5"
"PORTAL DE BOCONO","3"
"PORTAL DE LAS AMERICAS","6"
"PORTAL DEL ESCOBAL","4"
"PORTO  FINO CLUB","4"
"PORVENIR","6"
"PRADOS CLUB","2"
"PRADOS DEL ESTE","4"
"PRADOS DEL NORTE","5"
"PRADOS I Y II","2"
"PRIMERO DE MAYO","8"
"PROGRESO","8"
"PTO VILLAMIZAR","CORREGIMIENTO"
"PUEBLO NUEVO","9"
"PUENTE BARCO","10"
"PUERTO LEON","CASERIO"
"PUERTO LLERAS","CASERIO"
"PUERTO NUEVO","CASERIO"
"QUINTA BOSCH","2"
"QUINTA ORIENTAL","2"
"QUINTA VELEZ","2"
"RAFAEL NUÑEZ","6"
"RESERVAS DE SAN LUIS","4"
"RICAURTE","CORREGIMIENTO"
"RINCON DE LOS PRADOS","2"
"RINCON DEL PRADO","2"
"RINCON DEL RODEO","8"
"RIVER COUNTRY","2"
"RIVERAS DEL ESTE","4"
"RODEO","8"
"RUDESINDO SOTO","9"
"SABANA VERDE","8"
"SAN DIEGO","4"
"SAN EDUARDO","5"
"SAN FAUSTINO","CORREGIMIENTO"
"SAN FERNANDO DEL RODEO","8"
"SAN GERARDO","6"
"SAN ISIDRO","2"
"SAN JERONIMO","7"
"SAN JOSE","10"
"SAN LUIS","4"
"SAN MARTIN","4"
"SAN MATEO","3"
"SAN MIGUEL","9"
"SAN PEDRO","CORREGIMIENTO"
"SAN RAFAEL","10"
"SANTA ANA","3"
"SANTA CECILIA","8"
"SANTA CLARA","4"
"SANTA HELENA","5"
"SANTA LUCIA","2"
"SANTA TERESITA","4"
"SANTA TRERESITA","4"
"SANTANDER","10"
"SANTILLANA","4"
"SANTO DOMINGO","10"
"SECTOR CHIVERAS","4"
"SEVILLA","5"
"SIGLOXXI","4"
"SIMON BOLIVAR","6"
"TASAJERO","5"
"TOLEDO PLATA","6"
"TORCOROMA","4"
"TORCOROMA I","4"
"TORCOROMA II","4"
"TORCOROMA III","4"
"TORRES ALTAVISTA","3"
"TORRES DE BILBAO","6"
"TORRES DE BOLIVAR ","6"
"TORRES DE CLARET","7"
"TORRES DE MOLINO","6"
"TORRES DE PICABIA","5"
"TORRES DEL BOSQUE","5"
"TORRES DEL ESTE","4"
"TRAPICHES","4"
"TRIGAL DEL NORTE","6"
"TUCUNARE","7"
"UFPS","2"
"URAPANES","2"
"URB ANIVERSARIO","4"
"URB BELEN DE UMBRIA","9"
"URB EL BOSQUE","5"
"URB HACARITAMA","2"
"URB LA ALMEIDA","4"
"URB LA ESPERANZA","2"
"URB LA MARIA","5"
"URB NUEVA ESPERANZA","7"
"URB PANAMERICA","6"
"URB PARAISO","4"
"URB PENSILVANIA","2"
"URB SAN JOSE","4"
"URB SAN MARTIN","4"
